i,c,n,s
354,00200,MELCO INT'L DEV,11655
355,00201,MAGNIFICENT,10887
356,00202,EVERCHINA INT'L,5186
359,00204,CAPITAL REALM,2411
365,00205,BFB HEALTH,359
34611,00206,CM-ENERGY,3863
374,00209,POLY XVERSE IT,12973
380,00210,DAPHNE INT'L,4742
384,00211,STYLAND HOLD,15257
386,00212,NANYANG HOLD,12750
387,00213,NATIONAL ELEC H,12755
388,00214,ASIA ORIENT,236
33247,00215,HUTCHTEL HK,8534
391,00216,CHINNEY INV,2788
392,00217,CHINA CHENGTONG,2661
393,00218,SWHYHK,15306
394,00219,SHUNHO PROPERTY,15064
20216,00220,U-PRESID CHINA,15536
401,00222,MIN XIN HOLD,11693
402,00223,ELIFE HLDGS,5151
405,00224,PIONEER GLOBAL,12955
406,00225,POKFULAM,12970
408,00227,FIRST SHANGHAI,5258
409,00228,CHINA ENERGY,2674
411,00229,RAYMOND IND,13145
415,00232,CON AERO TECH,3930
418,00234,NEW CENTURY GP,12775
419,00235,CSC HOLDINGS,4007
420,00236,SAN MIGUEL HK,13239
422,00237,SAFETY GODOWN,13225
424,00239,PAK FAH YEOW,12883
427,00240,BUILD KING HOLD,2313
428,00241,ALI HEALTH,169
429,00242,SHUN TAK HOLD,15061
430,00243,QPL INT'L,13127
432,00244,SINCERE,15081
433,00245,CHINA VERED FIN,2763
437,00247,TST PROPERTIES,15520
438,00248,HKC INT'L HOLD,6141
447,00251,SEA HOLDINGS,13291
448,00252,SE ASIA PPT,13289
449,00253,SHUNHO HOLDINGS,15063
450,00254,NUR HOLDINGS,12824
451,00255,LUNG KEE,10866
454,00256,CITYCHAMP,3778
456,00257,EB ENVIRONMENT,5088
457,00258,TOMSON GROUP,15463
458,00259,YEEBO (INT'L H),17807
461,00261,GBA HOLDINGS,5349
463,00262,DESON DEV INT'L,4766
468,00264,CN INT DEV CORP,3895
471,00265,GANGYU SERVICES,5342
472,00266,TIAN TECK LAND,15418
473,00267,CITIC,3757
9332,00268,KINGDEE INT'L,10695
475,00269,CRTG,4001
477,00270,GUANGDONG INV,5942
478,00271,ASIASEC PPT,245
12297,00272,SHUI ON LAND,15059
482,00274,RA SILK ROAD,13139
486,00276,MONGOLIA ENERGY,11732
487,00277,TERN PROPERTIES,15400
489,00279,ARTA TECHFIN,224
491,00280,KING FOOK HOLD,10690
20247,00285,BYD ELECTRONIC,2320
506,00286,AIDIGONG,133
508,00287,WINFAIR INV,17629
105112,00288,WH GROUP,17618
510,00289,WING ON CO,17635
511,00290,GOFINTECH QUANT,5872
513,00291,CHINA RES BEER,2735
517,00293,CATHAY PAC AIR,2424
518,00294,YANGTZEKIANG,17783
519,00295,KONG SUN HOLD,10714
520,00296,EMPEROR E HOTEL,5156
521,00297,SINOFERT,15104
523,00298,CHUANG'S CHINA,2805
7425,00299,GLORY SUN LAND,5867
1000231771,00300,MIDEA GROUP,11681
1000018761,00301,SANVO CHEMICALS,13259
1000011963,00302,CMGE,3878
533,00303,VTECH HOLDINGS,17568
535,00305,WULING MOTORS,17666
536,00306,KWOON CHUNG BUS,10743
539,00308,CHINA TRAVEL HK,2759
6347,00309,XH NEWS MEDIA,17691
543,00310,PROSP INV HOLD,13081
7705,00311,LUEN THAI,10859
49633,00312,SHIRBLE STORE,15043
548,00313,RICHLY FIELD,13174
1000178917,00314,SIPAI HEALTH,15141
555,00315,SMARTONE TELE,15173
558,00316,OOIL,12857
560,00317,COMEC,3927
562,00318,VONGROUP,17562
12370,00320,CTGL,4515
572,00321,TEXWINCA HOLD,15403
576,00322,TINGYI,15448
580,00323,MAANSHAN IRON,10881
1000243888,00325,BLOKS,1234
586,00326,CHINA STAR ENT,2749
56792,00327,PAX GLOBAL,12903
591,00328,ALCO HOLDINGS,167
592,00329,OCI INTL,12844
595,00330,ESPRIT HOLDINGS,5173
134313,00331,FSE LIFESTYLE,5298
600,00332,YUANHENG GAS,17840
602,00333,TOP FORM INT'L,15477
604,00334,CH DISPLAY OPT,2574
608,00335,UPBEST GROUP,17512
612,00336,HUABAO INTL,8096
12347,00337,GREENLAND HK,5919
618,00338,SHANGHAI PECHEM,15013
621,00339,WEBX HOLDING,17592
624,00340,TONGGUAN GOLD,15469
627,00341,CAFE DE CORAL H,2349
629,00343,CULTURECOM HOLD,4715
636,00345,VITASOY INT'L,17553
638,00346,YANCHANG PETRO,17780
642,00347,ANGANG STEEL,197
648,00348,CHINAHEALTHWISE,2772
659,00351,ASIA ENERGY LOG,233
11750,00352,FORTUNE SUN,5281
666,00353,ENERGY INTINV,5159
30083,00354,CHINASOFT INT'L,2780
674,00355,CENTURY C INT'L,2531
675,00356,DT CAPITAL,5058
679,00357,MEILAN AIRPORT,11639
684,00358,JIANGXI COPPER,8797
8654,00360,NEW FOCUS AUTO,12778
695,00361,HANFORT DEV H,6046
700,00362,C ZENITH CHEM,2339
704,00363,SHANGHAI IND H,15012
712,00365,SINO ICT,15091
717,00366,LUKS GROUP (VN),10863
718,00367,CHUANG'S INT'L,2806
1000044666,00368,SUPERLAND GROUP,15297
722,00369,WING TAI PPT,17636
724,00370,HK ROBOTICS,6135
729,00371,BJ ENT WATER,1227
733,00372,PT INTL DEV,13093
736,00373,ALLIED GROUP,173
738,00374,FOUR SEAS MER,5286
741,00375,YGM TRADING,17810
743,00376,YUNFENG FIN,17856
748,00377,CHINA HUAJUN GP,2687
756,00379,EG LEASING,5143
762,00380,CHINA PIPE,2727
765,00381,AOM INT'L,210
1000000420,00382,EDVANTAGE GROUP,5103
771,00383,TIANAN MEDICARE,15421
772,00384,CHINA GAS HOLD,2680
774,00385,CHINNEY ALLI,2787
775,00386,SINOPEC CORP,15112
6311,00387,LEEPORT(HOLD),10782
781,00388,HKEX,6149
40197,00389,TONTINE WINES,15475
19916,00390,CHINA RAILWAY,2732
787,00391,MEI AH ENTER,11635
788,00392,BEIJING ENT,342
790,00393,GLORIOUS SUN,5864
35013,00396,HING LEE (HK),6119
798,00397,MINERVA GROUP,11695
799,00398,ORIENTAL WATCH,12866
800,00399,STARCOIN GROUP,15235
108524,00400,INGDAN,8708
94967,00401,WANJIA GROUP,17583
806,00403,STARLITE HOLD,15238
10324,00405,YUEXIU REIT,17846
810,00406,YAU LEE HOLD,17787
812,00408,YIP'S CHEMICAL,17821
18165,00410,SOHO CHINA,15190
816,00411,LAM SOON (HK),10757
817,00412,SDHG,13282
819,00413,SC HOLDINGS,13268
827,00417,TSE SUI LUEN,15516
828,00418,FOUNDER HOLD,5284
830,00419,HONY MEDIA,6278
831,00420,FOUNTAIN SET,5285
20189,00422,VMEP HOLDINGS,17558
9449,00423,HKET HOLDINGS,6148
10177,00425,MINTH GROUP,11706
9921,00426,ONE MEDIA GROUP,12852
852,00428,COCOON HOLDINGS,3920
857,00430,ORIENTAL EXPL,12863
859,00431,G CHINA FIN,5332
861,00432,PCPD,12905
864,00433,NORTH MINING,12814
95959,00434,BOYAA,1315
13307,00435,SUNLIGHT REIT,15280
143637,00436,NU ENVIRO,12821
8384,00438,IRICO NEWENERGY,8734
877,00439,GENESIS SCALE,5371
879,00440,DAH SING,4731
119940,00442,DOMAINE POWER,4796
9915,00444,SINCEREWATCH HK,15082
899,00450,HUNG HING PRINT,8455
901,00451,GCL NEWENERGY,5352
912,00455,TIANDA PHARMA,15423
914,00456,NEW CITY DEV,12776
918,00458,TRISTATE HOLD,15504
54111,00460,SIHUAN PHARM,15074
9134,00464,CHINA IN-TECH,2689
41000,00465,FUTONG TECH,5315
943,00467,UNITEDENERGY GP,17506
56479,00468,GAPACK,5346
1000291285,00470,WUXI LEAD,17669
9878,00471,SILKWAVE INC,15076
961,00472,NEW SILKROAD,12785
11477,00474,ACESO LIFE SCI,88
14831,00475,CENTRAL DEV H,2528
984,00476,EV DYNAMICS,5182
1000,00480,HKR INT'L,6244
8996,00482,SANDMARTIN INTL,13242
8993,00483,BAUHAUS INT'L,315
93654,00484,FORGAME,5278
1020,00485,CHINASINOSTAR,2779
42723,00486,RUSAL,13214
1027,00487,SUCCESSUNIVERSE,15259
1029,00488,LAI SUN DEV,10752
1039,00491,EMPEROR CULTURE,5155
1045,00493,GOME RETAIL,5889
1051,00495,PALADIN,12885
9932,00496,KASEN,10667
1057,00497,CSI PROPERTIES,4022
1060,00498,BLUE RIVER HLDG,1237
1062,00499,QINGDAO HLDGS,13119
1063,00500,FRONTIER SER,5295
1000286394,00501,OMNIVISION,12851
20532,00505,XINGYE ALLOY,17728
1078,00506,CHINA FOODS,2678
1083,00508,DINGYI GP INV,4781
25471,00509,SUNSHINE,15286
21728,00510,CASH FIN SER GP,2421
1088,00511,TVB,15528
1089,00512,GRAND PHARMA,5902
1091,00513,CONTINENTAL H,3944
11658,00515,CHINASILVER TEC,2778
1101,00517,COSCO SHIP INTL,3954
1102,00518,TUNGTEX (HOLD),15526
1103,00519,NOVAUTEK,12815
115713,00520,XIABUXIABU,17703
1107,00521,CWT INT'L,4717
1108,00522,ASMPT,246
1112,00524,GW TERROIR,5959
1113,00525,GUANGSHEN RAIL,5944
1116,00526,LISI GP HOLD,10833
11489,00527,RUIFENG RENEW,13209
13247,00528,KINGDOM HOLDING,10696
1124,00529,SIS INT'L,15143
1131,00532,WKK INTL (HOLD),17651
1132,00533,GOLDLION HOLD,5882
1136,00535,GEMDALE PPT,5367
9974,00536,TRADELINK,15493
14859,00538,AJISEN (CHINA),164
82615,00540,SPEEDY GLOBAL,15212
1150,00542,CN CULTURAL T&A,3889
20217,00543,PACIFIC ONLINE,12880
1152,00544,DAIDO GROUP,4736
13457,00546,FUFENG GROUP,5304
1159,00547,DIGITAL DOMAIN,4778
1161,00548,SHENZHENEXPRESS,15032
16258,00550,ALLEGRO CULTURE,171
1172,00551,YUE YUEN IND,17843
13164,00552,CHINACOMSERVICE,2770
1178,00553,NANJING PANDA,12747
1181,00554,HANS GP HLDGS,6055
20443,00556,PAN ASIA ENVIRO,12890
1191,00557,TIANYUAN HEALTH,15438
12418,00558,LK TECH,10840
1195,00559,DETAI NEWENERGY,4768
1199,00560,CHU KONG SHIP,2803
1216,00563,SH IND URBAN,15001
79171,00564,ZCZL,17877
6517,00565,ART GROUP HOLD,223
1235,00567,DAISHOMICROLINE,4737
12506,00568,SHANDONG MOLONG,15008
1251,00570,TRAD CHI MED,15491
1255,00571,ESUN HOLDINGS,5176
6305,00572,FW HOLDINGS,5323
15961,00573,TAO HEUNG HLDGS,15360
125499,00574,PASHUN INT'L,12901
1275,00575,REGENT PACIFIC,13158
1281,00576,ZHEJIANGEXPRESS,17891
63861,00579,JNCEC,8842
53239,00580,SUN.KING TECH,15269
7195,00581,CHINA ORIENTAL,2713
1313,00582,SHIN HWA WORLD,15038
1318,00583,GWPA HOLDINGS,5963
1328,00585,IMAGI INT'L,8690
98241,00586,CONCH VENTURE,3937
1000146146,00587,CONCH ENVIRO,3935
1342,00588,BEIJING N STAR,345
1354,00590,LUK FOOK HOLD,10861
26184,00591,C HIGHPRECISION,2329
1381,00595,AV CONCEPT HOLD,265
26234,00596,INSPUR DIGI ENT,8716
1395,00598,SINOTRANS,15139
1398,00599,E. BON HOLDINGS,5079
1000291040,00600,AXERA,268
1403,00601,REMT,13164
15458,00602,JIAHUA STORES H,8789
1407,00603,CHINA OIL & GAS,2710
1408,00604,SHENZHEN INVEST,15031
1410,00605,C FIN SERVICES,2327
1000100019,00606,SCE CM,13271
1413,00607,FULLSHARE,5309
1419,00608,HIGH FASHION,6116
12537,00609,TIANDE CHEMICAL,15424
1424,00610,WAI KEE HOLD,17574
1426,00611,CNE TECH CORP,3901
1427,00612,CARMEN CENTURY,2414
1430,00613,PLANETREE INT'L,12961
1437,00616,ASSET CHAIN,247
1438,00617,PALIBURG HOLD,12887
1440,00618,PKU RESOURCES,12960
1441,00619,SOUTH CHINA FIN,15197
1442,00620,DTXS SILK ROAD,5059
1443,00621,TAUNG GOLD,15365
1445,00622,OSHIDORI,12868
24088,00623,SINOMEDIA,15111
1450,00626,PUBLIC FIN HOLD,13095
1451,00627,VISION SYNERGY,17549
1454,00628,TONGTONG AI SOC,15474
1457,00629,YUE DA INTL,17842
1460,00630,AMCO UNITED,182
40864,00631,SANY INT'L,13262
1465,00632,CHK OIL,2792
1476,00635,PLAYMATES,12964
98035,00636,KLN,10705
12346,00637,LEE KEE,10780
1000276933,00638,FIBOCOM,5245
1489,00639,SHOUGANG RES,15055
50656,00640,INFINITY DEV,8706
1494,00641,CHTC FONG'S INT,2801
1497,00643,CARRY WEALTH,2418
1506,00645,ARES ASIA,221
1508,00646,CHINA ENV TEC,2676
1512,00648,SOFTMEDX-NEW,15189
1516,00650,PRODUCTIVE TECH,13078
6319,00653,BONJOUR HOLD,1297
1530,00655,HK CHINESE LTD,6129
16381,00656,FOSUN INTL,5282
1534,00657,G-VISION INT'L,5334
16110,00658,C TRANSMISSION,2337
1537,00659,CTF SERVICES,4499
1541,00660,WAI CHUN BIOTEC,17572
1543,00661,CDAYENONFER,2466
1544,00662,ASIA FINANCIAL,234
1000297030,00664,TONGSHIFU,15473
1000209973,00666,REPT BATTERO,13169
226385,00667,CHINA EAST EDU,2670
1557,00669,TECHTRONIC IND,15372
1558,00670,CHINA EAST AIR,2669
19504,00672,ZHONGAN GROUP,17910
1567,00673,CHINA HEALTH,2683
1570,00674,CHINA TANGSHANG,2754
1571,00675,K & P INT'L,10644
1574,00676,PEGASUS INT'L,12907
1576,00677,GOLDEN RES DEV,5878
1580,00679,ASIA TELE-N-5K,240
1582,00681,CHI PEOPLE HOLD,2643
1585,00682,CHAODA MODERN,2612
1589,00683,KERRY PPT,10674
1592,00684,ALLAN INT'L,170
1594,00685,MEDIA CHINESE,11625
1595,00686,BJ ENERGY INTL,1225
1598,00687,TYSAN HOLDINGS,15532
1599,00688,CHINA OVERSEAS,2715
1601,00689,EPI (HOLDINGS),5167
1602,00690,UNI-BIO GROUP,17501
24563,00691,SHANSHUI CEMENT,15018
1614,00693,TAN CHONG INT'L,15357
1617,00694,BEIJING AIRPORT,341
75536,00695,DONGWU CEMENT,4800
1625,00696,TRAVELSKY TECH,15500
1629,00697,SHOUCHENG,15052
1630,00698,TONGDA GROUP,15466
1000279756,00699,JOYSON ELEC,8859
7609,00700,TENCENT,15376
1640,00701,CNT GROUP,3918
1641,00702,SINO OIL & GAS,15093
1645,00703,FUTURE BRIGHT,5316
1648,00704,HUSCOKE HLDGS,8503
10943,00707,ATV HOLDINGS,252
21615,00708,EVERG VEHICLE,5190
1666,00709,GIORDANO INT'L,5388
1667,00710,BOE VARITRONIX,1291
1668,00711,ASIA ALLIED INF,230
39455,00712,COMTEC SOLAR,3929
1672,00713,WORLD HOUSEWARE,17658
1679,00716,SINGAMAS CONT,15086
14941,00717,EMPEROR CAPITAL,5154
1682,00718,TAI UNITED HOLD,15347
1684,00719,SHANDONG XINHUA,15009
1687,00720,AUTO ITALIA,259
1688,00721,C FIN INT I-NEW,2326
134049,00722,UMP,17497
1696,00723,RELIANCE GLO HL,13161
1697,00724,RUIXIN INT'L,13211
1701,00725,PERENNIAL INT'L,12913
1704,00726,DIT GROUP,4784
1705,00727,CROWNICORP,3999
1708,00728,CHINA TELECOM,2755
1711,00730,CAPITAL IND FIN,2410
1712,00731,C&D NEWIN,2341
1714,00732,TRULY INT'L,15509
7704,00733,HOPEFLUENT,6281
1728,00736,CHINA PPT INV,2729
6379,00737,BAY AREA DEV,322
1737,00738,LE SAUNDA,10772
23572,00743,ASIA CEMENT CH,231
8029,00745,CN CULTURE GP,3890
1787,00746,L & M CHEMICAL,10746
1792,00747,SHENYANG PUBLIC,15029
30039,00750,SFSY ENERGY,13316
1819,00751,SKYWORTH GROUP,15164
1824,00752,PICO FAR EAST,12940
8366,00753,AIR CHINA,159
1837,00754,HOPSON DEV HOLD,6282
1843,00755,DEVGREAT,4769
24625,00756,SUMMI,15261
21322,00757,SOLARGIGA,15191
1869,00759,CEC INT'L HOLD,2522
1879,00760,TALENT PPT GP,15356
1896,00762,CHINA UNICOM,2760
8322,00763,ZTE,17964
1910,00764,ETERNITY INV,5178
1920,00765,PERFECTECH INTL,12916
1928,00767,ZHONG JI LS,17907
1932,00768,UBA INVESTMENTS,17051
1937,00769,CHINA RAREEARTH,2733
1942,00770,SHANGHAI GROWTH,15011
1943,00771,AUTOMATED SYS,261
165872,00772,CHINA LIT,2697
26326,00775,CKLIFE SCIENCES,3841
26325,00776,IMPERIUM TEC GP,8696
24055,00777,NETDRAGON,12770
46581,00778,FORTUNE REIT,5280
205645,00780,TONGCHENGTRAVEL,15465
170603,00784,LING YUI,10820
193453,00788,CHINA TOWER,2758
23541,00789,ARTINI HLDG,226
30679,00794,COME SURE GROUP,3926
191127,00797,7ROAD,13
103735,00798,CEOVU,2537
126710,00799,IGG,8687
1000279593,00800,WERIDE-W,17612
156578,00804,PINESTONE,12942
1000243889,00805,NEW GONOW RV,12779
19713,00806,VALUE PARTNERS,17522
181183,00807,SIICENVIRONMENT,15075
10253,00808,PROSPERITY REIT,13085
1956,00809,GLOBAL BIO-CHEM,5856
1959,00810,CH CASTSON 81,2571
15584,00811,XINHUA WINSHARE,17731
11749,00813,SHIMAO GROUP,15036
16414,00814,JINGKELONG,8813
81865,00815,CHI SILVER GP,2645
1000140857,00816,JINMAO SERVICES,8818
17178,00817,CHINA JINMAO,2692
1970,00818,HI SUN TECH,6114
15699,00819,TIANNENG POWER,15434
25900,00821,VC HOLDINGS,17529
15960,00822,KA SHUI INT'L,10650
10148,00823,LINK REIT,10828
16089,00825,NWDS CHINA,12840
16633,00826,TIANGONG INT'L,15426
26057,00827,KO YO GROUP,10712
8559,00828,DYNASTY WINES,5069
39088,00829,SHENGUAN HLDGS,15026
46159,00830,CSC DEVELOPMENT,4006
63443,00831,CR ASIA,3977
23875,00832,CENTRAL CHINA,2527
9314,00833,ALLTRONICS,174
29466,00834,KANGDA FOOD,10661
6732,00836,CHINA RES POWER,2739
38490,00837,CARPENTER TAN,2416
8991,00838,EVA HOLDINGS,5183
169819,00839,CHINA EDU GROUP,2673
17569,00840,TIANYE WATER,15436
30902,00841,CASSAVA RES,2422
55030,00842,LEOCH INT'L,10797
68895,00844,GREATIME INTL,5910
38700,00845,GLORIOUS PPT H,5863
39542,00846,MINGFA GROUP,11698
21321,00848,MAOYE INT'L,10907
2024,00851,SHENG YUAN HLDG,15022
28197,00852,STRONG PETRO,15256
52492,00853,MICROPORT,11675
97360,00854,WILLAS-ARRAY,17626
2033,00855,CHINA WATER,2765
2035,00856,VSTECS,17567
2038,00857,PETROCHINA,12919
2040,00858,EXTRAWELL PHAR,5194
2042,00859,ZHONGCHANG INTL,17912
2044,00860,APOLLO FMG,216
2047,00861,DC HOLDINGS,4752
2049,00862,VISION VAL-NEW,17550
130186,00863,OSL GROUP,12869
84799,00864,WING LEE PPT,17634
28760,00865,JIANDE INT'L,8792
34498,00866,CHINA QINFA,2730
52602,00867,CMS,3884
8582,00868,XINYI GLASS,17739
20947,00869,PLAYMATES TOYS,12965
63322,00871,CH DREDG ENV,2575
1000061088,00873,SHIMAO SERVICES,15037
2069,00874,BAIYUNSHAN PH,296
2072,00875,CONGYU INTE AGR,3941
2074,00876,KAISA HEALTH,10656
2079,00878,SOUNDWILL HOLD,15196
21374,00880,SJM HOLDINGS,15149
45635,00881,ZHONGSHENG HLDG,17918
2086,00882,TIANJIN DEV,15428
2088,00883,CNOOC,3904
79741,00884,CIFI HOLD GP,3462
24822,00887,EMPEROR WATCH&J,5158
2098,00888,BLOCKFIN HLDG,1233
2100,00889,DATRONIX HOLD,4748
38580,00893,CHINAVTM MINING,2782
2107,00894,MAN YUE TECH,10898
52672,00895,DONGJIANG ENV,4799
2111,00896,HANISON,6051
2115,00897,WAI YUEN TONG,17575
2118,00898,MULTIFIELD INTL,12729
2122,00899,ZHONG JIA GX,17908
2125,00900,AEON CREDIT,97
1000302314,00901,SDMC,13288
2131,00902,HUANENG POWER,8145
2140,00905,WALNUT CAP,17576
2147,00907,ELEGANCEOPTICAL,5149
1000057174,00909,MING YUAN CLOUD,11697
2156,00910,CHINA SANDI,2743
107908,00911,QIANHAI HEALTH,13114
2162,00912,SUGA INT'L,15260
2166,00913,HARBOUR DIGITAL,6067
2170,00914,CONCH CEMENT,3934
2173,00915,DAOHE GLOBAL,4741
41318,00916,CHINA LONGYUAN,2698
1000220280,00917,QUNABOX GROUP,13132
2186,00918,MAJESTIC DRAGON,10892
10609,00919,MODERNHEALTHTEC,11726
2192,00921,HISENSE HA,6126
2194,00922,ANXIANYUAN CH,209
46224,00923,IWS,8765
1000001199,00924,KHOON GROUP,10679
52670,00926,BESUNYEN,356
2209,00927,FUJIKON IND,5307
2213,00928,KING INTL INV,10691
8106,00929,IPE GROUP,8732
2224,00931,CHINA HK POWER,2684
133776,00932,SHUNTEN INTL,15065
1000196261,00933,VIVA GOODS,17555
2234,00934,SINOPEC KANTONS,15113
49725,00936,KAISA CAPITAL,10654
2240,00938,MAN SANG INT'L,10895
9970,00939,CCB,2431
2247,00941,CHINA MOBILE,2702
2250,00943,ZHONGZHENG INTL,17923
2255,00945,MANULIFE-S,10902
41573,00947,MOBI DEV,11717
42433,00948,ALPHA PRO HLDGS,176
47399,00950,LEE'S PHARM,10781
49562,00951,CHAOWEI POWER,2614
2265,00952,QUAM PLUS FIN,13129
43092,00953,SHAW BROTHERS,15020
90337,00954,CHANGMAO BIO,2608
53278,00956,CHINA SUNTIEN,2752
